!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_ACGS		7.301e+09	dimensionless	
equilibrium constant	R_SUCOAS		0.4295	dimensionless	
equilibrium constant	R_PRAIS		3.227	dimensionless	
equilibrium constant	R_AACPS8		2546	dimensionless	
equilibrium constant	R_AACPS9		72970	dimensionless	
equilibrium constant	R_AACPS6		24.84	dimensionless	
equilibrium constant	R_AACPS7		11040	dimensionless	
equilibrium constant	R_HISTP		1145	dimensionless	
equilibrium constant	R_LDH_D		0.2396	dimensionless	
equilibrium constant	R_KAS15		5.187	dimensionless	
equilibrium constant	R_T2DECAI		1.518	dimensionless	
equilibrium constant	R_3OAS161		49.11	dimensionless	
equilibrium constant	R_DHQS		2.106e+21	dimensionless	
equilibrium constant	R_EAR161x		123.3	dimensionless	
equilibrium constant	R_PGCD		0.0007114	dimensionless	
equilibrium constant	R_MALtex		16.94	dimensionless	
equilibrium constant	R_3OAS141		50.16	dimensionless	
equilibrium constant	R_3OAR121		546.5	dimensionless	
equilibrium constant	R_ADSL1r		1.435	dimensionless	
equilibrium constant	R_AICART		0.008901	dimensionless	
equilibrium constant	R_D_LACt2pp		0.2673	dimensionless	
equilibrium constant	R_RIBtex		4.009	dimensionless	
equilibrium constant	R_FRUpts2pp		3.993	dimensionless	
equilibrium constant	R_FORtex		6.426	dimensionless	
equilibrium constant	R_PFK		82310	dimensionless	
equilibrium constant	R_PGM		11.92	dimensionless	
equilibrium constant	R_CYTBO3_4pp		6.353e+20	dimensionless	
equilibrium constant	R_EAR141x		115.9	dimensionless	
equilibrium constant	R_EAR181x		412.9	dimensionless	
equilibrium constant	R_TPI		0.0222	dimensionless	
equilibrium constant	R_RPI		0.001777	dimensionless	
equilibrium constant	R_3OAR120		27.1	dimensionless	
equilibrium constant	R_3HAD80		0.9782	dimensionless	
equilibrium constant	R_3HAD120		0.9756	dimensionless	
equilibrium constant	R_EAR180x		369.3	dimensionless	
equilibrium constant	R_AKGtex		170.9	dimensionless	
equilibrium constant	R_SO4t2pp		0.05519	dimensionless	
equilibrium constant	R_EAR180y		17.06	dimensionless	
equilibrium constant	R_ACONTb		0.002106	dimensionless	
