!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	R_3HAD181		0.9215	dimensionless		
equilibrium constant	R_EAR100y		30.8	dimensionless		
equilibrium constant	R_3OAR141		471.5	dimensionless		
equilibrium constant	R_3OAR161		477.5	dimensionless		
equilibrium constant	R_3HAD141		0.9155	dimensionless		
equilibrium constant	R_EAR121x		101.8	dimensionless		
equilibrium constant	R_ACONTa		0.01402	dimensionless	R01325	
equilibrium constant	R_3HAD40		0.95	dimensionless		
equilibrium constant	R_3OAS60		7.318	dimensionless		
equilibrium constant	R_3OAS160		6.554	dimensionless		
equilibrium constant	R_3OAR60		11.09	dimensionless	R04953	
equilibrium constant	R_3OAR80		11.95	dimensionless	R04536	
equilibrium constant	R_EAR100x		592.7	dimensionless		
equilibrium constant	R_EAR120x		562	dimensionless		
equilibrium constant	R_EAR160x		548.2	dimensionless		
equilibrium constant	R_EAR140y		30.51	dimensionless		
equilibrium constant	R_3OAS121		43.08	dimensionless		
equilibrium constant	R_3OAS80		8.103	dimensionless		
equilibrium constant	R_3OAS100		7.82	dimensionless		
equilibrium constant	R_3OAS120		9.666	dimensionless		
equilibrium constant	R_3OAR40		81.16	dimensionless		
equilibrium constant	R_3OAR100		11.46	dimensionless	R04534	
equilibrium constant	R_3HAD60		0.9435	dimensionless	R04954	
equilibrium constant	R_3HAD100		0.9583	dimensionless	R04535	
equilibrium constant	R_3HAD140		0.6247	dimensionless	R04568	
equilibrium constant	R_3HAD160		0.9311	dimensionless	R04544	
equilibrium constant	R_EAR40x		78.4	dimensionless		
equilibrium constant	R_EAR60y		19.15	dimensionless		
equilibrium constant	R_EAR60x		368.5	dimensionless		
equilibrium constant	R_EAR80x		378.7	dimensionless		
equilibrium constant	R_3OAR180		194.5	dimensionless		
equilibrium constant	R_3OAS180		39.41	dimensionless		
equilibrium constant	R_3HAD180		0.9287	dimensionless	R07764	
equilibrium constant	R_NADH16pp		1.713e+21	dimensionless		
equilibrium constant	R_FA160ACPHi		998	dimensionless		
equilibrium constant	R_FA120ACPHi		293.6	dimensionless		
equilibrium constant	R_FA80ACPHi		43.66	dimensionless		
equilibrium constant	R_FA140ACPHi		522.6	dimensionless		
equilibrium constant	R_FA100ACPHi		1737	dimensionless		
equilibrium constant	R_ETOHtrpp		0.2384	dimensionless		
equilibrium constant	R_ACPPAT161		81.98	dimensionless		
equilibrium constant	R_ACPPAT180		14500	dimensionless		
equilibrium constant	R_RNTR1c2		2302	dimensionless		
equilibrium constant	R_RNTR2c2		189.6	dimensionless		
equilibrium constant	R_FLDR2		310.9	dimensionless		
equilibrium constant	R_VPAMTr		1.485	dimensionless	R01215	
equilibrium constant	R_ACPPAT181		83.88	dimensionless		
equilibrium constant	R_APH161		1.557	dimensionless		
equilibrium constant	R_APH180		43.02	dimensionless		
equilibrium constant	R_APH181		1.555	dimensionless		
equilibrium constant	R_PIt2rpp		4.982	dimensionless		
equilibrium constant	R_PItpp		0.008685	dimensionless		
equilibrium constant	R_SUCCt1pp		2171	dimensionless		
equilibrium constant	R_RBIO		3.239e+17	dimensionless		
catalytic rate constant geometric mean	R_NDPK5		1.848	1/s	R01857	
catalytic rate constant geometric mean	R_SHK3Dr		3.741	1/s	R02413	
catalytic rate constant geometric mean	R_NDPK6		0.1117	1/s	R02331	
catalytic rate constant geometric mean	R_NDPK8		1.079	1/s	R01137	
catalytic rate constant geometric mean	R_DHORTS		5.213	1/s	R01993	
catalytic rate constant geometric mean	R_OMPDC		24.08	1/s	R00965	
catalytic rate constant geometric mean	R_G5SD		4.985	1/s	R03313	
catalytic rate constant geometric mean	R_CS		67.54	1/s	R00351	
catalytic rate constant geometric mean	R_ICDHyr		3.335	1/s	R00267	
catalytic rate constant geometric mean	R_ACALD		8.966	1/s	R00228	
catalytic rate constant geometric mean	R_PPA		75.78	1/s	R00004	
catalytic rate constant geometric mean	R_PPCK		33.27	1/s	R00341	
catalytic rate constant geometric mean	R_ME1		65.78	1/s	R00214	
catalytic rate constant geometric mean	R_ALATA_L		17.12	1/s	R00258	
catalytic rate constant geometric mean	R_XYLK		28.17	1/s	R01639	
catalytic rate constant geometric mean	R_RBK		17.25	1/s		
catalytic rate constant geometric mean	R_GLYK		4.367	1/s	R00847	
catalytic rate constant geometric mean	R_ASPTA		5.958	1/s	R00355	
catalytic rate constant geometric mean	R_FBP		76.27	1/s		
catalytic rate constant geometric mean	R_EX_pi_e		5.681	1/s		
catalytic rate constant geometric mean	R_PYK		21.09	1/s	R00200	
catalytic rate constant geometric mean	R_EX_co2_e		6.399	1/s		
catalytic rate constant geometric mean	R_GTHOr		0.8906	1/s	R00115	
catalytic rate constant geometric mean	R_ILETA		4.55	1/s	R02199	
catalytic rate constant geometric mean	R_DHORD5		0.06634	1/s		
catalytic rate constant geometric mean	R_VALTA		4.097	1/s	R01214	
catalytic rate constant geometric mean	R_IPPMIb		2.761	1/s	R03968	
catalytic rate constant geometric mean	R_ORPT		14.94	1/s	R01870	
catalytic rate constant geometric mean	R_ACHBS		18.8	1/s	R08648	
catalytic rate constant geometric mean	R_DHAD2		65.5	1/s	R05070	
catalytic rate constant geometric mean	R_ACLS		46.85	1/s	R00226	
catalytic rate constant geometric mean	R_TRPS2		11.13	1/s	R00674	
catalytic rate constant geometric mean	R_PSCVT		4.74	1/s	R03460	
catalytic rate constant geometric mean	R_PFL		45.93	1/s	R00212	
catalytic rate constant geometric mean	R_ANS		282.3	1/s	R00986	
catalytic rate constant geometric mean	R_FRD2		10.31	1/s		
catalytic rate constant geometric mean	R_ANPRT		30.57	1/s	R01073	
catalytic rate constant geometric mean	R_CHORM		5297	1/s	R01715	
catalytic rate constant geometric mean	R_PTAr		34.06	1/s	R00230	
catalytic rate constant geometric mean	R_CHORS		316.2	1/s	R01714	
catalytic rate constant geometric mean	R_IGPS		26.74	1/s	R03508	
catalytic rate constant geometric mean	R_ACKr		88.87	1/s	R00315	
catalytic rate constant geometric mean	R_LEUTAi		3.281	1/s	R01090	
catalytic rate constant geometric mean	R_EX_glcn_e		4.496	1/s		
catalytic rate constant geometric mean	R_EX_h_e		6.999	1/s		
catalytic rate constant geometric mean	R_EX_gln__L_e		5.068	1/s		
catalytic rate constant geometric mean	R_EX_glyc_e		4.611	1/s		
catalytic rate constant geometric mean	R_EX_ac_e		5.033	1/s		
catalytic rate constant geometric mean	R_EX_akg_e		5.016	1/s		
catalytic rate constant geometric mean	R_EX_pyr_e		4.718	1/s		
catalytic rate constant geometric mean	R_EX_succ_e		5.049	1/s		
catalytic rate constant geometric mean	R_EX_rib__D_e		4.924	1/s		
catalytic rate constant geometric mean	R_EX_fum_e		4.731	1/s		
catalytic rate constant geometric mean	R_EX_glu__L_e		5.005	1/s		
catalytic rate constant geometric mean	R_ENO		54.95	1/s	R00658	
catalytic rate constant geometric mean	R_FBA		50.56	1/s	R01068	
catalytic rate constant geometric mean	R_HCO3E		14.84	1/s	R10092	
catalytic rate constant geometric mean	R_IMPC		4.151	1/s	R01127	
catalytic rate constant geometric mean	R_IMPD		1.829	1/s	R01130	
catalytic rate constant geometric mean	R_PPS		42.06	1/s	R00199	
catalytic rate constant geometric mean	R_PGI		104.8	1/s		
catalytic rate constant geometric mean	R_PGK		44.77	1/s	R01512	
catalytic rate constant geometric mean	R_PGL		266.2	1/s	R02035	
catalytic rate constant geometric mean	R_RPE		12.33	1/s	R01529	
catalytic rate constant geometric mean	R_DHQTi		66.52	1/s	R03084	
catalytic rate constant geometric mean	R_IPMD		37.52	1/s	R04426	
catalytic rate constant geometric mean	R_AIRC3		10.48	1/s	R07405	
catalytic rate constant geometric mean	R_TALA		7.589	1/s	R01827	
catalytic rate constant geometric mean	R_ADSL2r		2.93	1/s	R04559	
catalytic rate constant geometric mean	R_TKT1		12.83	1/s		
catalytic rate constant geometric mean	R_RNDR1		3.617	1/s	R02017	
catalytic rate constant geometric mean	R_ALCD2x		1.075	1/s	R00754	
catalytic rate constant geometric mean	R_RNDR3		4.81	1/s	R02024	
catalytic rate constant geometric mean	R_RNDR4		0.1522	1/s	R02018	
catalytic rate constant geometric mean	R_TMDS		14.86	1/s	R02101	
catalytic rate constant geometric mean	R_EX_glc__D_e		4.77	1/s		
catalytic rate constant geometric mean	R_DHAD1		123.4	1/s	R04441	
catalytic rate constant geometric mean	R_IPPMIa		2.38	1/s	R04001	
