!!SBtab TableID='ParameterEq' TableType='Quantity' TableName='ParameterEq' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
standard Gibbs energy of reaction		R_ADSL1r	kJ/mol	16.22	1.38		R01083
standard Gibbs energy of reaction		R_AICART	kJ/mol	12.75	3.75		R04560
standard Gibbs energy of reaction		R_PFK	kJ/mol	-17.81	0.67		
standard Gibbs energy of reaction		R_PGM	kJ/mol	-4.47	0.36		R01518
standard Gibbs energy of reaction		R_CYTBO3_4pp	kJ/mol	-93.56	6.4		
standard Gibbs energy of reaction		R_TPI	kJ/mol	5.62	0.55		R01015
standard Gibbs energy of reaction		R_RPI	kJ/mol	4.47	1.67		
standard Gibbs energy of reaction		R_ACONTb	kJ/mol	-1.62	1.13		R01900
standard Gibbs energy of reaction		R_SUCDi	kJ/mol	-73.61	6.52		
standard Gibbs energy of reaction		R_ASNS1	kJ/mol	-40.02	3.65		R00578
standard Gibbs energy of reaction		R_ACONTa	kJ/mol	8.47	1.13		R01325
standard Gibbs energy of reaction		R_NADH16pp	kJ/mol	-131.76	6.21		
standard Gibbs energy of reaction		R_VPAMTr	kJ/mol	-1.57	3.49		R01215
